time,unbiased,steered,coupled,TAMD
39.40000,-5.09442,-5.43381,-5.34862,-5.43818
39.50000,-5.11680,-5.39916,-5.15951,-5.46463
39.60000,-5.04353,-5.20148,-5.16655,-5.47154
39.70000,-5.21889,-4.96992,-4.84540,-5.70964
39.80000,-5.31152,-5.01746,-4.91866,-5.78510
39.90000,-5.48275,-5.06708,-4.72502,-5.69915
40.00000,-5.79186,-5.26174,-4.39041,-5.88980
40.10000,-5.63534,-5.42308,-4.64992,-6.03632
40.20000,-5.31613,-5.45562,-4.90951,-5.75373
40.30000,-5.14025,-5.75578,-4.96303,-5.98302
40.40000,-5.23255,-5.55834,-4.63385,-6.34316
40.50000,-5.35754,-5.44727,-4.74153,-6.24637
40.60000,-5.39202,-5.39704,-4.92186,-5.81032
40.70000,-4.97088,-5.43413,-5.02956,-5.92456
40.80000,-5.18800,-5.28631,-4.66494,-5.97762
40.90000,-5.11090,-4.93193,-4.77032,-6.05490
41.00000,-4.89465,-4.86333,-4.60127,-6.09238
41.10000,-5.02258,-4.88780,-4.82612,-6.13148
41.20000,-5.04177,-5.29746,-4.73997,-6.43626
41.30000,-5.14766,-5.16342,-5.14814,-6.36710
41.40000,-5.41658,-5.20891,-4.94192,-6.07551
41.50000,-5.42680,-5.18315,-4.71605,-6.26515
41.60000,-5.50780,-5.04667,-4.65306,-6.30759
41.70000,-5.60544,-5.13588,-4.65993,-6.29109
41.80000,-5.35961,-5.44209,-4.60734,-6.50030
41.90000,-5.28805,-5.35386,-4.66153,-6.22039
42.00000,-5.23294,-5.25634,-4.19077,-6.35319
42.10000,-5.08900,-5.34613,-4.32764,-5.94903
42.20000,-5.19588,-5.45847,-4.35359,-5.97941
42.30000,-5.00868,-5.37825,-4.39261,-6.02296
42.40000,-5.12866,-5.23478,-4.45907,-5.73891
42.50000,-5.16877,-5.10618,-4.66747,-6.20791
42.60000,-5.09638,-4.77899,-4.43919,-6.25910
42.70000,-4.88469,-4.60673,-4.72971,-6.41604
42.80000,-4.92751,-4.72229,-4.68899,-6.23619
42.90000,-4.97470,-4.88800,-4.56888,-6.30111
43.00000,-5.22282,-5.18891,-4.63303,-6.38038
43.10000,-5.19388,-5.21433,-5.31679,-6.26807
43.20000,-5.10443,-4.97695,-5.18755,-6.06174
43.30000,-5.10391,-5.08168,-5.08528,-6.13803
43.40000,-5.06335,-5.06707,-5.21502,-6.07670
43.50000,-5.17939,-4.72118,-4.60539,-6.18346
43.60000,-5.37696,-4.74148,-4.45435,-6.22716
43.70000,-5.33267,-4.55473,-4.39096,-6.25652
43.80000,-5.10842,-4.71657,-4.30941,-6.31272
43.90000,-5.39512,-4.80000,-4.17282,-6.32237
44.00000,-5.60398,-4.75347,-4.43702,-6.41847
44.10000,-5.68761,-4.76349,-4.33849,-6.49966
44.20000,-5.57332,-4.36981,-4.75163,-6.43012
44.30000,-5.57050,-4.66782,-4.54903,-6.03520
44.40000,-5.69939,-4.53280,-4.41505,-5.77773
44.50000,-5.52572,-4.85938,-4.60169,-6.01755
44.60000,-5.55916,-4.41797,-4.55528,-5.75022
44.70000,-5.61711,-4.40520,-4.60844,-5.55358
44.80000,-5.59845,-4.38872,-4.70548,-5.86598
44.90000,-5.55744,-4.51067,-4.76463,-5.75367
45.00000,-5.60912,-4.39399,-4.29654,-5.88587
45.10000,-5.90120,-4.36877,-4.52623,-5.87007
45.20000,-5.70503,-4.68826,-4.47956,-5.98838
45.30000,-5.93674,-4.82768,-4.34061,-5.65487
45.40000,-5.79902,-4.48718,-4.30740,-5.50886
45.50000,-5.67860,-4.61162,-4.47694,-5.49909
45.60000,-5.55241,-4.59751,-4.16650,-5.17605
45.70000,-5.56799,-4.45038,-4.25458,-5.32686
45.80000,-5.60600,-4.49479,-4.53777,-5.43213
45.90000,-5.61569,-4.53039,-4.70947,-5.37855
46.00000,-5.65537,-5.00390,-4.76146,-5.37882
46.10000,-5.69112,-5.19338,-5.17721,-5.59177
46.20000,-5.72988,-5.36562,-5.30464,-5.85223
46.30000,-5.81772,-5.16976,-4.83621,-5.82146
46.40000,-5.82602,-5.17862,-4.68891,-5.83425
46.50000,-5.66867,-5.53271,-5.18088,-6.16941
46.60000,-5.82162,-5.33251,-5.17014,-6.17635
46.70000,-5.78746,-5.22226,-5.09133,-6.07854
46.80000,-6.05242,-5.00218,-4.97429,-5.83766
46.90000,-5.60161,-4.77754,-4.96900,-5.64416
47.00000,-5.61786,-4.85890,-4.90367,-5.70211
47.10000,-5.84106,-4.85891,-4.85431,-5.77718
47.20000,-5.99492,-4.90773,-4.99759,-5.77907
47.30000,-5.79133,-5.07323,-5.05683,-6.00773
47.40000,-5.67252,-5.50067,-4.76018,-5.99725
47.50000,-5.24200,-5.46492,-4.46552,-6.10474
47.60000,-5.18741,-5.41359,-4.73743,-6.29926
47.70000,-5.27031,-5.14169,-4.88108,-6.44606
